seed,pen-cloned_ST1_mean,pen-cloned_ST1_std_error,pen-cloned_ST1_count_999,pen-cloned_ST2_mean,pen-cloned_ST2_std_error,pen-cloned_ST2_count_999,pen-cloned_ST4_mean,pen-cloned_ST4_std_error,pen-cloned_ST4_count_999,pen-cloned_ST8_mean,pen-cloned_ST8_std_error,pen-cloned_ST8_count_999,pen-cloned_ST16_mean,pen-cloned_ST16_std_error,pen-cloned_ST16_count_999,kitchen-partial_ST1_mean,kitchen-partial_ST1_std_error,kitchen-partial_ST1_count_999,kitchen-partial_ST2_mean,kitchen-partial_ST2_std_error,kitchen-partial_ST2_count_999,kitchen-partial_ST4_mean,kitchen-partial_ST4_std_error,kitchen-partial_ST4_count_999,kitchen-partial_ST8_mean,kitchen-partial_ST8_std_error,kitchen-partial_ST8_count_999,kitchen-partial_ST16_mean,kitchen-partial_ST16_std_error,kitchen-partial_ST16_count_999
91,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
92,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
93,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
94,999,0,1,999,0,1,999,0,1,463,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
95,999,0,1,999,0,1,287,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
96,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
97,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
98,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
99,999,0,1,999,0,1,999,0,1,202,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
100,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
101,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
102,999,0,1,999,0,1,999,0,1,999,0,1,144,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
103,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
104,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
105,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
106,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
107,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
108,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
109,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
110,999,0,1,999,0,1,999,0,1,999,0,1,914,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
111,999,0,1,999,0,1,999,0,1,999,0,1,318,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
112,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
113,999,0,1,999,0,1,999,0,1,179,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
114,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
115,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
116,999,0,1,999,0,1,999,0,1,202,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
117,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
118,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
119,999,0,1,999,0,1,999,0,1,291,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
120,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
121,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
122,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
123,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
124,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
125,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
126,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
127,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
128,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
129,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
130,104,0,0,91,0,0,95,0,0,137,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
131,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
132,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
133,999,0,1,999,0,1,999,0,1,999,0,1,416,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
134,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
135,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
136,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
137,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,440,0,0
138,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
139,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
140,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
141,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
142,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
143,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
144,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
145,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
146,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
147,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
148,999,0,1,999,0,1,999,0,1,658,0,0,926,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
149,999,0,1,999,0,1,999,0,1,999,0,1,392,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
